4	tweet_textual_content	len	ID	Date	Source	Likes	RTs
0	"RT @saddiepunk: aladdin: *risk his life only for princess jasmine*

jafar: https://t.co/6q90ibHXIx"	98	1140949244599160832	Tue Jun 18 11:47:52 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	676
1	"RT @SJofficial: #YESUNG #예성 The 3rd Mini Album [#PinkMagic]
💗Melon: https://t.co/KEuAqnKoi6
💗FLO: https://t.co/GddQ3Gg32r
💗Genie: https://t…"	143	1140949209593667584	Tue Jun 18 11:47:44 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2684
2	@MenaMassoud @disneyaladdin @NaomiScott Thank you for showing me A WHOLE NEW WORLD of movie 🎥!! I wanna see #Aladdin again and again.	134	1140949385330565120	Tue Jun 18 11:48:25 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
3	"RT @SerieTV46: #BTS ""Boy with Luv"" MV feat. Halsey - 09:00 KST:

#6 MelOn (=)
#7 FLO (=)
#9 Genie (+1)
#11 Bugs (+1)
#12 Mnet (+1)
#14 Sori…"	140	1140948993716948992	Tue Jun 18 11:46:52 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	600
4	"RT @itsSarahLines: When Aladdin said:

“Sometimes you just have to take a risk”

 I did that."	93	1140949072456515585	Tue Jun 18 11:47:11 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	377
5	RT @KidPaiEngg: “ถ้าไม่สู้เพื่อสิ่งที่ต้องการ ก็อย่าร้องไห้กับสิ่งที่ต้องเสียไป” -Will Smith	92	1140948979527507970	Tue Jun 18 11:46:49 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	13938
6	"RT @BTSLAB_twt: 19/0618🇰🇷BTS Music Chart→20:00

📊방탄소년단 BoyWithLuv 실시간차트
[#아미가_스ㅁb할게_방탄은_음악만해]

#7 Melon
#7 FLO🔻1
#10 olleh 🔻1
#10 genie 🔻1…"	145	1140949404334972928	Tue Jun 18 11:48:30 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	52
7	"Erleben, genießen und wohlfühlen im eigenen Schwimmteich
#Schwimmteich https://t.co/MxbyOiRBtd https://t.co/ViWcxrnIh3"	118	1140949284868829185	Tue Jun 18 11:48:01 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0
8	Aladdin ‘Prince Ali’ Song Comparison (Which Is Better?) 2019 Disney HD - YouTube https://t.co/6Qzxta07w4	104	1140949168199856128	Tue Jun 18 11:47:34 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0
9	Check out what I just added to my closet on Poshmark: Simon Chang Colorful Tropical Genie Style Jumpsuit.… https://t.co/ft6KSM5fog	130	1140949431191130112	Tue Jun 18 11:48:36 +0000 2019	"<a href=""http://poshmark.com/"" rel=""nofollow"">Poshmark</a>"	0	0
10	@bulukuc1ng Aladdin!	20	1140949501483425793	Tue Jun 18 11:48:53 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
