	tweet_textual_content	len	ID	Date	Source	Likes	RTs
0	"RT @_Snape_: Harry Potter x Billie Eilish?

Sure, why not
https://t.co/H7RmW2JUIX"	81	1140952098256764929	Tue Jun 18 11:59:12 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	8944
1	RT @antosgv: estaba pensando que nunca vimos a harry potter estudiando matemática capaz te corria dementores pero no te despejaba una x	135	1140952071425970176	Tue Jun 18 11:59:06 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	307
2	damn nyesal tengok vans harry potter tu. haish.	47	1140952175629127681	Tue Jun 18 11:59:31 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
3	"RT @AnisAgris: Waarom sta Harry Potter eigenlijk nog ni op Netflix? 

Ik wil marathons houden en heel de dag stiekem uit het raam kijken op…"	140	1140951568038211584	Tue Jun 18 11:57:06 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4
4	defalarca harry potter izleyebilirim	36	1140951563952951296	Tue Jun 18 11:57:05 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	4	0
5	RT @The_KingIsReal: Unpopular Opinion: Percy Jackson had so much potential. It was supposed to be a Harry Potter caliber film franchise. I…	139	1140952218251726848	Tue Jun 18 11:59:41 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	477
6	"RT @minsugacheonye: Harry Potter y el misterio de que le dijo Jungkook a Hoseok para que reaccionara así 

 https://t.co/1ZREgz4FB0"	131	1140951795591778304	Tue Jun 18 11:58:00 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1638
7	RT @AksharPathak: It's ridiculous that Shahrukh Khan is dubbing for The Lion King. I mean, come on Mufasa is clearly a lion, and Rahul is a…	140	1140951558479237120	Tue Jun 18 11:57:04 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	529
8	"@3ziiznho The Godfather 
TLOTR
Harry Potter"	43	1140951806039773184	Tue Jun 18 11:58:03 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
9	"RT @kitsnit: harry potter e as relíquias da morte

cansada de procurar por coisas que eu não faço ideia do que são https://t.co/9BxnGorjO4"	138	1140951501239672832	Tue Jun 18 11:56:50 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	36
