	tweet_textual_content	len	ID	Date	Source	Likes	RTs
0	5/10 — watching Men in Black: International	43	1140619530974257152	Mon Jun 17 13:57:42 +0000 2019	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0	0
1	MIB見た…クリヘム夢女子になってしまうそしてテッサちゃんいきなりめんこい…	38	1140619844280127488	Mon Jun 17 13:58:57 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
2	¿Fracaso? 'Men in Black: International' no conquista la crítica... ni la taquilla https://t.co/O7oP3diZnA https://t.co/A1ikbIHn6M	129	1140619307069640704	Mon Jun 17 13:56:49 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	3	0
3	Men in Black as it claims No.1	30	1140620028141662209	Mon Jun 17 13:59:41 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0
4	RT @akiko_lawson: 【本日6/14限定】映画『 #メンインブラック ：インターナショナル』公開記念♪ @akiko_lawson をフォローして下記のボタンからツイート！抽選でオフィシャルサングラスをプレゼント #ローソン #MIB一億総エージェント化計画 ht…	140	1140619457657626626	Mon Jun 17 13:57:25 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2308
5	RT @Goji_Saurus: What time line is this where a Godzilla film featuring Mothra Rodan and Ghidorah is performing better than Men in Black or…	140	1140620432707473409	Mon Jun 17 14:01:17 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4
6	@PixelProphecy I had to google the difference between MiB and MB. Strange that I had never heard of Mebibytes befor… https://t.co/J8t9kloWUv	140	1140620517797445632	Mon Jun 17 14:01:37 +0000 2019	"<a href=""https://github.com/mariotaku/twidere/"" rel=""nofollow"">Twidere for Android #7</a>"	1	0
7	"やっぱMIBインターナショナルは字幕で観るか。
三宅さん&amp;沢城さんのイメージが付きすぎてるからあの吹き替えはさすがに無理だわ。"	67	1140619663073611776	Mon Jun 17 13:58:14 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
8	"RT @hydrtcxroadcoll: SUD-MHRSI-1St-16618
DEVI-VMT-6360
SAN70-VKG-9218
SAN35-FD-11587
MAYURI-MIB-5595
SAPTAGRI-KLR-8619
SHANTHI-GO-11838
TAR…"	140	1140619603531329541	Mon Jun 17 13:57:59 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7
9	映画「MIB」を気力の低下により吹替で見ました。おもしろかった！（MIB2の途中で寝落ち）	45	1140619609524994048	Mon Jun 17 13:58:01 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
10	"RT @HoshiKiyoshi: รีวิว MIB
1.คริส เฮมสเวิร์ธหล่อมาก
2.คริส เฮมสเวิร์ธหล่อมาก
3.คริส เฮมสเวิร์ธหล่อมาก
4.คริส เฮมสเวิร์ธหล่อมาก
.
.
.
.
10.…"	140	1140620522704662528	Mon Jun 17 14:01:38 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4300
11	"RT @MenInBlackJP: #MIB 🌐インターナショナルで大ヒット😎✨

＼＼That's  was awesome‼️／／
#MIBinternational

映画『#メンインブラック：インターナショナル』大ヒット上映中🕶"	118	1140619821861625857	Mon Jun 17 13:58:51 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	127
12	"MIB終わり
来週はファブル
DP絶対56すX-Meなんとかは知りません"	36	1140619830308945920	Mon Jun 17 13:58:53 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
