	tweet_textual_content	len	ID	Date	Source	Likes	RTs
0	The Marvel thing not being a continuation of Raimi's trilogy means I now have negative interest in whatever it is.	114	1140695860419973121	Mon Jun 17 19:01:00 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	3	0
1	@Marvel Con ganas de matarlos	29	1140695784381456384	Mon Jun 17 19:00:42 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
2	RT @jacksfilms: Dear @elonmusk I know you're in some hot water right now BUT if you purchased $45,230,372 worth of Avengers: Endgame movie…	139	1140695785480294401	Mon Jun 17 19:00:43 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	566
3	RT @nataliascap: rt if you recognized Jarvis in endgame. I’m trying to see something https://t.co/6iebseMIzN	108	1140695749392515072	Mon Jun 17 19:00:34 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4118
4	Watching endgame two nights in a tweet about the internet had cancelled my mother.	82	1140695798004486144	Mon Jun 17 19:00:46 +0000 2019	"<a href=""https://twitter.com/freakin_ebooks"" rel=""nofollow"">RFCebooks</a>"	0	0
5	RT @4DXMEXICO: Cuando #Marvel publica una imagen salvaje con un 4 haciendo referencia a #Spiderman 🕸y te inventas teorías y todo...pero te…	139	1140695769281957888	Mon Jun 17 19:00:39 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	9
6	@julialandom_ um dos melhores filmes da marvel????!!	52	1140695860046696449	Mon Jun 17 19:01:00 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0
7	"RT RunTheJewrls: The marvel twitter admin tweeting the ""4"" yesterday and making everyone think it was a Spider-Man 4 comic being released…"	138	1140695850840154112	Mon Jun 17 19:00:58 +0000 2019	"<a href=""http://www.powerapps.com"" rel=""nofollow"">Microsoft PowerApps and Flow</a>"	0	0
8	"RT @toughtinkart: Avengers Couture: Thanos
👊 I am inevitable 👊

Since I did the villain in my 2012 series, I felt like it was only fair to…"	139	1140695749426069504	Mon Jun 17 19:00:34 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	8
9	RT @nataliascap: rt if you recognized Jarvis in endgame. I’m trying to see something https://t.co/6iebseMIzN	108	1140695870834434048	Mon Jun 17 19:01:03 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4118
10	Cena crucial de Vingadores: Ultimato teve fala cortada; veja! https://t.co/9pU82y4092 #Avengers	95	1140695761044344832	Mon Jun 17 19:00:37 +0000 2019	"<a href=""https://ads-api.twitter.com"" rel=""nofollow"">Twitter Ads Composer</a>"	1	2
11	RT @USgamernet: Marvel Ultimate Alliance 3 lacks the presentation and spectacle of Marvel's Avengers, but makes up for it in a hearty rever…	140	1140695797752913922	Mon Jun 17 19:00:45 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1
12	RT @jacksfilms: Dear @elonmusk I know you're in some hot water right now BUT if you purchased $45,230,372 worth of Avengers: Endgame movie…	139	1140695784247189504	Mon Jun 17 19:00:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	566
13	RT @AZGARDlANS: y’all gonna marry someone from netflix marvel stan twitter and end up with a kid named cancelled	112	1140695761417658374	Mon Jun 17 19:00:37 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	640
14	RT @Marvel: #MarvelComics https://t.co/tqeAGUaEVl	49	1140695763690897408	Mon Jun 17 19:00:37 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	14862
15	"RT @danverswonder: cortaram de endgame: 

o funeral da nat 

o beijinho que o tony dá no pescoço do peter quando eles se reencontram

o ton…"	140	1140695792455471104	Mon Jun 17 19:00:44 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	191
16	Square Enix CEO Yosuke Matsuda interview — Betting big on The Avengers game https://t.co/ouY5dJkk2c https://t.co/Ok2VC9G8Fi	123	1140695789662064643	Mon Jun 17 19:00:44 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0
17	@USgamernet This game looks way better than Marvel's Avengers graphically.	74	1140695791775825920	Mon Jun 17 19:00:44 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	2	0
18	RT @Dan_IJS: « Avengers : infinity boire » 😭 https://t.co/EVqJ8i2PG6	68	1140695843793715202	Mon Jun 17 19:00:56 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	546
19	"Tony Stark Dying in Avengers Endgame
#SixWordHorror"	51	1140695760041848832	Mon Jun 17 19:00:36 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	1	0
20	RT @denofgeek: Good news for solo gamers: the main campaign in Marvel's Avengers game is 100% single-player https://t.co/NetNbs3Ahy https:/…	140	1140695866401050624	Mon Jun 17 19:01:02 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	1
21	RT @SFDrill: @Marvel Why the heck did you start at 4... https://t.co/8rtVD9kdQM	79	1140695818715815937	Mon Jun 17 19:00:50 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	28
22	RT @ObsCinema: Cena crucial de Vingadores: Ultimato teve fala cortada; veja! https://t.co/9pU82y4092 #Avengers	110	1140695782728896513	Mon Jun 17 19:00:42 +0000 2019	"<a href=""https://twitter.com/brtng44"" rel=""nofollow"">broot do twitter</a>"	0	2
23	"RT @LightsCameraPod: ""I love you 3,000.""

Happy #FathersDay. #Avengers
https://t.co/9xFnp2k5u9"	94	1140695837384855558	Mon Jun 17 19:00:55 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1101
24	@Marvel ???	11	1140695792866533377	Mon Jun 17 19:00:44 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1
