	tweet_textual_content	len	ID	Date	Source	Likes	RTs
0	RT @Animated_Antic: I found these animation tests from Pixar interns where they take dialogue from certain scenes from actors like John Goo…	140	1140938661837594625	Tue Jun 18 11:05:49 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	8414
1	"RT @NormalMuse: มีชื่อในตารางงานแล้วววว มาหามิวซ์เถอะนะ
วันพุธที่ 19 มิถุนายน 2562
งานเปิดตัวภาพยนต์ 'TOY STORY 4'
เวลา 19.30 น. ที่ SF WOR…"	140	1140938578261712896	Tue Jun 18 11:05:29 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	189
2	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938272677552129	Tue Jun 18 11:04:16 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	24149
3	RT @ImagenRetro: Como vimos Toy Story 1 / Como veremos Toy Story 4. https://t.co/R7A1qUohiS	91	1140938516530114560	Tue Jun 18 11:05:14 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	3236
4	No se si esta más para ver Toy Story 4 o ver Toy Story en 4 🤔	61	1140938326691766272	Tue Jun 18 11:04:29 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
5	RT @Alejo_Moren0: El jueves necesito con la vida ir a ver toy story 4	69	1140938048995319808	Tue Jun 18 11:03:23 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7
6	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938498905661441	Tue Jun 18 11:05:10 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	24149
7	RT @Mew_CG: นางเอกที่เล่นคู่ใช่เอสเธอร์ปะ รายได้หนังจะยังไงเนี่ย แถมเข้าวันเดียวกับ Toy Story 4 อีก เอาถอะ ใครไม่ดูไม่เป็นไร แต่เราจะไปดูแ…	139	1140938293451710464	Tue Jun 18 11:04:21 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	35225
8	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140937991122300928	Tue Jun 18 11:03:09 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	24149
9	"RT @thestorykids: -tsk “toy story sandwichie""
 https://t.co/SdF37NHErT"	70	1140938767705837568	Tue Jun 18 11:06:14 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	44
10	RT @RegalMovies: Put your Toy Story knowledge to the test! #ToyStory4 comes to Regal this week 🎟️: https://t.co/K6i9yvHTu5 https://t.co/Lcs…	140	1140938323562770432	Tue Jun 18 11:04:28 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	10
11	RT @Animated_Antic: I found these animation tests from Pixar interns where they take dialogue from certain scenes from actors like John Goo…	140	1140938226015674370	Tue Jun 18 11:04:05 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	8414
12	RT @chaa_pln: trop hâte d’aller voir toy story 4 🥺	50	1140938218705248262	Tue Jun 18 11:04:03 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	15
13	toy story la semaine prochaine ❤️	33	1140938214875762688	Tue Jun 18 11:04:02 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
14	"RT @thestorykids: -tsk “toy story sandwichie""
 https://t.co/SdF37NHErT"	70	1140938673099165696	Tue Jun 18 11:05:51 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	44
15	RT @alanoperez_: So Annabelle and toy story are coming out soon who’s going with me ?	85	1140938655659429888	Tue Jun 18 11:05:47 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1391
16	RT @ImagenRetro: Como vimos Toy Story 1 / Como veremos Toy Story 4. https://t.co/R7A1qUohiS	91	1140938512952451072	Tue Jun 18 11:05:13 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	3236
17	@gggsema1 トイストーリー今度ディズニーデラックスで字幕で観てみようかな(ᵒ͈̑ڡᵒ͈̑ )聴き慣れないウッディの英語と言ってもトム・ハンクスですが。Pixarだから吹き替えしかなさそうですね	100	1140938387660001280	Tue Jun 18 11:04:43 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
18	RT @Lonnizer: On dirait un personnage de dessin animé Pixar, je suis choqué mdr ! https://t.co/akgPW0IbBd	105	1140938599380246528	Tue Jun 18 11:05:34 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	97
19	RT @Animated_Antic: I found these animation tests from Pixar interns where they take dialogue from certain scenes from actors like John Goo…	140	1140938601762607109	Tue Jun 18 11:05:34 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	8414
20	"RT @chelokotv: 🇦🇷 Toy Story es Argentino 🇦🇷 y de bokitaaa!!1! 😭😭🇺🇦😭🇺🇦
@BocaJrsOficial @toystory https://t.co/eoFqlG3E7s"	119	1140938494736572416	Tue Jun 18 11:05:09 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	4
21	Khamis nak tgk toy story seorang je kol 10 kt 1u mcm nak gik office	67	1140938263563100165	Tue Jun 18 11:04:14 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
22	"RT @EuMaluma: andy: a

brinquedos do toy story:
https://t.co/w7AkS2p3lG"	71	1140938111687495680	Tue Jun 18 11:03:38 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	613
23	RT @martjohn18: Toy story la veo asi sea solo	45	1140938766166700034	Tue Jun 18 11:06:14 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	11
24	RT @Animated_Antic: I found these animation tests from Pixar interns where they take dialogue from certain scenes from actors like John Goo…	140	1140938013423394817	Tue Jun 18 11:03:14 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	8414
25	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938292810178560	Tue Jun 18 11:04:21 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	24149
26	"RT @taesartt: eu olhando pros meus brinquedos quando era mais nova depois de assistir toy story 
https://t.co/u4hFOGR79I"	120	1140938392223592448	Tue Jun 18 11:04:44 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	222
27	@realmattcooke Toy Story 3 is just a slightly worse version of Toy Story 2 but with a slightly better ending tbh....	116	1140938655311302656	Tue Jun 18 11:05:47 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	0
28	RT @naadinecr: Eu to só pela estreia do toy story 4 quinta 🥰	60	1140938161431953408	Tue Jun 18 11:03:49 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2
29	RT @neilalfrd: TOY STORY 4 IS A MUST	36	1140938069874319360	Tue Jun 18 11:03:28 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	33
30	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938621958197248	Tue Jun 18 11:05:39 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	24149
31	RT @petermaxiff: os erros de gravação de toy story 2 é uma das melhores coisas do filme https://t.co/wdA5vLtsog	111	1140938380781506561	Tue Jun 18 11:04:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	24149
