	tweet_textual_content	len	ID	Date	Source	Likes	RTs
0	watching X-Men Movies at Cineworld Stoke-on-Trent https://t.co/gM6c0MLMr1	73	1140708626535014401	Mon Jun 17 19:51:44 +0000 2019	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0	0
1	RT @Marvel: The next seminal moment in the ongoing history of the X-Men is almost here: HOUSE OF X and POWERS OF X by writer @JHickman will…	140	1140706709993852929	Mon Jun 17 19:44:07 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	193
2	RT @ComicBookNOW: MARVEL Releases Video on the Future of the X-MEN https://t.co/zCX8rT6XQ0 https://t.co/UO1Wrq1vWw	114	1140708573162496003	Mon Jun 17 19:51:31 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4
3	Tava olhando umas parada e lembrando do Lucas o filme inteiro do x-men “ô o cara parece o velho da havan” “meu é o velho da havan” KAOAKAOK	139	1140706741853859840	Mon Jun 17 19:44:15 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	1
4	RT @alexandremoreti: Sou fã de ines brasil desde q ela dublou x-men https://t.co/2lSSLMFdn9	91	1140708700165947392	Mon Jun 17 19:52:02 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	18
5	"RT @VersionAnaloga: De X

Simon Kinberg tiene una interpretación sobre cómo funciona la confusa continuidad de las películas de X Men “Days…"	140	1140707304897241088	Mon Jun 17 19:46:29 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1
6	@The305MVP I enjoyed it, see it if X-Men is your thing	54	1140706589525127169	Mon Jun 17 19:43:38 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
7	Quiero ver X-men	16	1140708602417729536	Mon Jun 17 19:51:38 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
8	x-men dark phoenix❤️scott mn amour ❤️ pietro mn amour+++❤️	58	1140708993884721159	Mon Jun 17 19:53:12 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
9	RT @Radioacktiva_: ¡Amigos Gamers! XBOX fabricó una consola de X-Men Dark Phoenix 😧 ¿Y adivinen quién la tiene? 🙄 Si, Radioacktiva la entre…	140	1140708172912635904	Mon Jun 17 19:49:56 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
