	Unnamed: 0	tweet_textual_content	len	ID	Date	Source	Likes	RTs	polarity
0	0	watching men in black international	43	1140619530974257152	Mon Jun 17 13:57:42 +0000 2019	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0	0	0
1	1	mib	38	1140619844280127488	Mon Jun 17 13:58:57 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
2	2	fracaso men in black international no conquista la cr tica ni la taquilla	129	1140619307069640704	Mon Jun 17 13:56:49 +0000 2019	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	3	0	2
3	3	men in black as it claims no	30	1140620028141662209	Mon Jun 17 13:59:41 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0	-1
4	4	rt mib ht	140	1140619457657626626	Mon Jun 17 13:57:25 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	2308	2
5	5	rt what time line is this where a godzilla film featuring mothra rodan and ghidorah is performing better than men in black or	140	1140620432707473409	Mon Jun 17 14:01:17 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	4	-1
6	6	i had to google the difference between mib and mb strange that i had never heard of mebibytes befor	140	1140620517797445632	Mon Jun 17 14:01:37 +0000 2019	"<a href=""https://github.com/mariotaku/twidere/"" rel=""nofollow"">Twidere for Android #7</a>"	1	0	-1
7	7	mib amp	67	1140619663073611776	Mon Jun 17 13:58:14 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
8	8	rt sud mhrsi st devi vmt san vkg san fd mayuri mib saptagri klr shanthi go tar	140	1140619603531329541	Mon Jun 17 13:57:59 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7	2
9	9	mib mib	45	1140619609524994048	Mon Jun 17 13:58:01 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
10	10	rt mib	140	1140620522704662528	Mon Jun 17 14:01:38 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4300	2
