	Unnamed: 0	tweet_textual_content	len	ID	Date	Source	Likes	RTs	polarity
0	0	watching x men movies at cineworld stoke on trent	73	1140708626535014401	Mon Jun 17 19:51:44 +0000 2019	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0	0	0
1	1	rt the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will	140	1140706709993852929	Mon Jun 17 19:44:07 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	193	2
2	2	rt marvel releases video on the future of the x men	114	1140708573162496003	Mon Jun 17 19:51:31 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	4	0
3	3	tava olhando umas parada e lembrando do lucas o filme inteiro do x men o cara parece o velho da havan meu o velho da havan kaoakaok	139	1140706741853859840	Mon Jun 17 19:44:15 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	1	1	2
4	4	rt sou f de ines brasil desde q ela dublou x men	91	1140708700165947392	Mon Jun 17 19:52:02 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	18	2
5	5	rt de x simon kinberg tiene una interpretaci n sobre c mo funciona la confusa continuidad de las pel culas de x men days	140	1140707304897241088	Mon Jun 17 19:46:29 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	1	2
6	6	i enjoyed it see it if x men is your thing	54	1140706589525127169	Mon Jun 17 19:43:38 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	1
7	7	quiero ver x men	16	1140708602417729536	Mon Jun 17 19:51:38 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
8	8	x men dark phoenix scott mn amour pietro mn amour	58	1140708993884721159	Mon Jun 17 19:53:12 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
9	9	rt amigos gamers xbox fabric una consola de x men dark phoenix y adivinen qui n la tiene si radioacktiva la entre	140	1140708172912635904	Mon Jun 17 19:49:56 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
10	10	rt x men x men	140	1140707958436683776	Mon Jun 17 19:49:05 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	213	2
11	11	rt the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will	140	1140709188710084610	Mon Jun 17 19:53:58 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	193	0
12	12	rt todav a falta gente ah x de x men a de avengers f de feto que no naci y no se supo su genero	136	1140708705404633089	Mon Jun 17 19:52:03 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	45	2
13	13	marvel x men panini svela i contenuti del cofanetto dedicato a l era di apocalisse di	124	1140707367144869890	Mon Jun 17 19:46:44 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0	2
14	14	rt the best scene in dark phoenix by the best character in the new x men timeline first class onwards	139	1140707351315537922	Mon Jun 17 19:46:40 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	38	1
15	15	x men fauve nicholas hoult a failli avoir son propre spin off et introduire ce fameux m chant	123	1140708753601417218	Mon Jun 17 19:52:14 +0000 2019	"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>"	0	0	2
16	16	rt para despedir a los x men como se debe hoy a las hrs regalaremos un p ster de darkphoenix autografiado por sophie	140	1140707163167440896	Mon Jun 17 19:45:55 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	33	2
17	17	ayer fui a ver x men dark phoenix y cuando entr a la sala que tocaba pasaron men in black excelente servicio estrellas	126	1140707570484764672	Mon Jun 17 19:47:32 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
18	18	rt the best scene in dark phoenix by the best character in the new x men timeline first class onwards	139	1140706531517841408	Mon Jun 17 19:43:25 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	38	1
19	19	co z tego e sesja jutro ogl dam kolejne x men	46	1140708989912723457	Mon Jun 17 19:53:11 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0	2
20	20	rt sophie turner nicholas hoult and michael fassbender sit down to find out which x men character they really are take the q	140	1140706369022124032	Mon Jun 17 19:42:46 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	13	0
21	21	demain jvais enfin voir x men	31	1140708880231620608	Mon Jun 17 19:52:45 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	2
22	22	lembro que comecei a ler x men l por n o tenho certeza se era a fase falange ou era do apocalipse mas peguei	139	1140708577763627008	Mon Jun 17 19:51:32 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	2	0	2
23	23	rt think you has what it takes to handle this heat seductivesunday uncanny x men issue	133	1140706838012420098	Mon Jun 17 19:44:38 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	2	0
24	24	marvel lanza nuevo video del futuro de los x men	72	1140707855273799681	Mon Jun 17 19:48:40 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	13	6	2
25	25	me puede explicar alguien c mo cojones casa x men phoenix con x men	75	1140707211737534464	Mon Jun 17 19:46:07 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	0	2
26	26	here what jason momoa could look like as x men villain sabretooth	91	1140707790719193088	Mon Jun 17 19:48:25 +0000 2019	"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>"	0	0	0
27	27	rt the best scene in dark phoenix by the best character in the new x men timeline first class onwards	139	1140709055662567425	Mon Jun 17 19:53:26 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	38	1
28	28	rt le r alisateur de x men dark phoenix assume l chec du film au box office c est de ma faute ht	140	1140708407499984896	Mon Jun 17 19:50:52 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	2	2
29	29	dudes have y all even read the x men	58	1140709354141732864	Mon Jun 17 19:54:38 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	1	0	2
30	30	x men	39	1140709326190972930	Mon Jun 17 19:54:31 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	2	0	2
31	31	x men are my fav marvel characters	34	1140708834643722246	Mon Jun 17 19:52:34 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0	1
