,Text,Polarity
0,watching x men movies at cineworld stoke on trent,0
2,marvel releases video on the future of the x men,0
3,i enjoyed it see it if x men is your thing,1
4,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
5,the best scene in dark phoenix by the best character in the new x men timeline first class onwards,1
6,the best scene in dark phoenix by the best character in the new x men timeline first class onwards,1
7,sophie turner nicholas hoult and michael fassbender sit down to find out which x men character they really are take the q,0
8,think you has what it takes to handle this heat seductivesunday uncanny x men issue,0
9,here what jason momoa could look like as x men villain sabretooth,0
10,the best scene in dark phoenix by the best character in the new x men timeline first class onwards,1
12,sophie turner nicholas hoult and michael fassbender sit down to find out which x men character they really are take the q,0
13,marvel reveals new x men character designs,0
14,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
15,rewatching the first x men film everytime i here magneto say welcome to the future brother it reminds me of the,0
16,i don t even go here but x men comics are fucking wild,1
17,x men trivia q how old was cyclops in the original x men by stan lee amp jack kirby a zero they released the issue t,0
18,ranked this episode uncanny x men proteus x men legacy necrosha ultimate x men world to,0
19,x men film editor releases the script for an unproduced beast solo movie,0
20,emma frost and selene gallio in wolverine and the x men,0
21,episode fills in for brendan as we discuss darkphoenix and our top x men scenes listen now,0
22,tweet is uncanny x men from may cover artwork by john romita jr and dan green,0
23,the next seminal moment in the ongoing history of the x men is almost here house of x and powers of x by writer will,0
24,the opening scene in x men united with nightcrawler is phenomenal i do not know why they did not do more with that charact,1
25,wasn t there an x men that had the ability to blow up like a bomb but doing so would kill him so he was almost useless,0
26,give dark phoenix a and thats me being nice the whole x men overall been poor this one hada similar storyline,0
27,sophie turner nicholas hoult and michael fassbender sit down to find out which x men character they really are take the q,0
28,the best scene in dark phoenix by the best character in the new x men timeline first class onwards,1
29,sophie turner nicholas hoult and michael fassbender sit down to find out which x men character they really are take the q,0
30,yes if there were no dragons no x men and no pandas,0
31,how can ppl think that pietro hair is the best thing of the x men first of all his hair i have to laugh,0
32,x men dark phoenix was pretty shit but the score absolutely slaps,-1
33,x men experts please i must know the answers,0
34,exclusive preview uncanny x men by xmen,0
35,sophie turner nicholas hoult and michael fassbender sit down to find out which x men character they really are take the q,0
36,i wrote a little bit about darkphoenix and the x men film franchise as a whole specifically the way in the era o,0
39,the x men confront galactus after he threatens to destroy a world but when cyclops is almost killed the phoenix power,0
40,i know we ve had our differences in the past but we both love raven x men dark phoenix,1
41,he was lying they were almost the exact same age all five of the original x men were as was professor xavier,0
42,mutant and proud part of the x men powers mind control and sound manipulation what else you wanna know and li,0
44,i know it ll be a while before you guys revamp x men but kiki layne will be perfect for,0
