	tweet_textual_content	len	ID	Date	Source	Likes	RTs
0	RT @CBC: Before he was Ted, Neo, or John Wick he was CBC's Keanu Reeves! | #KeanuReeves 🎥🎥 https://t.co/4hL1Op04rv	116	1140956405542748161	Tue Jun 18 12:16:19 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	3819
1	Nganong murag si john wick si baron sa probinsyano?	51	1140957502143520768	Tue Jun 18 12:20:41 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
2	RT @wageshiB: Moet nog steeds John Wick 3 zien 😔	49	1140956086066917376	Tue Jun 18 12:15:03 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	1
3	"RT @laufman: John Wick 

#johnwick #wick #chibiart #chibi #fanart #clipstudiopaint #cintiq27qhd #theboogeyman #babayaga https://t.co/hkLTZj…"	140	1140956908146372609	Tue Jun 18 12:18:19 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	8
4	John Wick 3 is a very large recommend, especially if you see it at an AMC Dine In.	82	1140954740034945024	Tue Jun 18 12:09:42 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
5	"13. John Wick

Nota: 8/10

#CineQueHeVistoEn2019 https://t.co/jk4Rfb7ZyG"	72	1140957429796081664	Tue Jun 18 12:20:23 +0000 2019	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0	0
6	@josemapi2018 Tacompaño hasta la entrada, veo de una puta vez John Wick: Parabellum, y nos encontramos al salir, ¿qué te parece?	128	1140956107977961473	Tue Jun 18 12:15:08 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	1	0
7	RT @Blooperly_: Or maybe just play something other than 5e? I'm begging you. There are so many good games that you can play John Wick in! D…	140	1140955284292210689	Tue Jun 18 12:11:52 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	96
8	@Ahmed_Rossonero Bah c’est justement ça le personnage de John wick ... depuis le 1 on en parle comme le mec qui a r… https://t.co/sCZPXeQbcE	140	1140954998559387648	Tue Jun 18 12:10:44 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	0
9	"Parasite
Dolor y gloria
A hidden life
Le daim
John Wick 3
The gangster the cop the devil https://t.co/HrODq7hYcQ"	112	1140954292213428226	Tue Jun 18 12:07:55 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	0
10	RT @KeatonPatti: I forced a bot to watch over 1,000 hours of the John Wick movies and then asked it to write a John Wick movie of its own.…	139	1140954462732857344	Tue Jun 18 12:08:36 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	6945
11	RT @ircnarc: john wick walked so bucky barnes could run	55	1140953885030473728	Tue Jun 18 12:06:18 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	5
12	"RT @afuckingmohawk: Top 10 of 2019 SO FAR...
THE BEACH BUM
HER SMELL
HIGH LIFE
BOOKSMART
ROLLING THUNDER REVUE
JOHN WICK CHAPTER 3
APOLLO 1…"	140	1140954532903620608	Tue Jun 18 12:08:53 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	8
13	"RT @lomaxutah: john wick              max rockatansky

                           🤝
        can kill u with their bare hands…"	126	1140955454102634497	Tue Jun 18 12:12:32 +0000 2019	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0	7
14	RT @WICKSPUNISHER: john wick when ernest interrupted him in the library https://t.co/KVG2QbJLUD	95	1140955438747287553	Tue Jun 18 12:12:29 +0000 2019	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0	15
15	"RT @Keanu_TheClub: It is really fascinating to hear from Keanu' s voice what he does at the end of each day of John Wick"" s filming #johnwi…"	140	1140956522106806272	Tue Jun 18 12:16:47 +0000 2019	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"	0	15
